"","actor","mean_mr","mean_si","mean_ec","mean_mr2","mean_si2","mean_ec2","n_statements","morastate","sponsorstate","morasponsor","council_member","is_regional_group","regional_group","isa_member","observer_state","igo","ngo","actor_type_eh2"
"67","saudi arabia",0.815,0.12,0.36,0.815,0.12,0.36,2,0,0,"neither",0,0,"asia pacific group",1,0,0,0,"member state"
"68","secretary general",0.736666666666667,0.55,0.598571428571429,0.736666666666667,0.55,0.598571428571429,9,0,0,"neither",0,0,"none",0,0,0,0,"isa"
"69","senegal",0.74,0.66,0.79,0.6825,0.6175,0.6575,2,0,0,"neither",0,0,"african group",1,0,0,0,"member state"
"70","sierra leone",0.73,0.605,0.49,0.6775,0.59,0.5075,7,0,0,"neither",1,0,"african group",1,0,0,0,"member state"
"71","singapore",0.8125,0.333333333333333,0.505,0.8125,0.333333333333333,0.505,4,0,1,"sponsor",1,0,"asia pacific group",1,0,0,0,"member state"
"72","slovenia",0,0.4,0.95,0,0.4,0.95,1,1,0,"moratorium/pp",0,0,"eastern europe group",1,0,0,0,"member state"
"73","south africa",0.5275,0.315,0.72,0.57625,0.445,0.6225,4,0,0,"neither",1,0,"african group",1,0,0,0,"member state"
"74","spain",0.56875,0.278571428571429,0.625,0.56875,0.278571428571429,0.625,10,1,0,"moratorium/pp",0,0,"western europe and other states group",1,0,0,0,"member state"
"75","sri lanka",0.18,0.73,0.92,0.18,0.73,0.92,1,0,0,"neither",0,0,"asia pacific group",1,0,0,0,"member state"
"76","sustainable ocean alliance",0.02,0.45,0.95,0.02,0.45,0.95,1,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"77","switzerland",0.51,0.4,0.631428571428571,0.51,0.4,0.631428571428571,7,1,0,"moratorium/pp",0,0,"western europe and other states group",1,0,0,0,"member state"
"78","tanzania",0.91,0.4225,0.526666666666667,0.7675,0.49875,0.525833333333333,4,0,0,"neither",1,0,"african group",1,0,0,0,"member state"
"79","te ipukarea society",0,0.2,0.9,0,0.2,0.9,1,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"80","tetiaroa society",0,0.3,0.95,0,0.3,0.95,2,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"81","the ocean and us",0.05,0.45,0.98,0.05,0.45,0.98,1,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"82","tonga",0.77,0.428333333333333,0.58,0.77,0.428333333333333,0.58,6,0,1,"sponsor",1,0,"asia pacific group",1,0,0,0,"member state"
"83","trinidad and tobago",0.692,0.362,0.41,0.692,0.362,0.41,6,0,0,"neither",1,0,"latin american caribbean group",1,0,0,0,"member state"
"84","tuvalu",0.2,0.45,0.933333333333333,0.2,0.45,0.933333333333333,3,1,0,"moratorium/pp",0,0,"asia pacific group",1,0,0,0,"member state"
"85","uganda",0.3,0.35,0,0.4625,0.4625,0.2625,1,0,0,"neither",1,0,"african group",1,0,0,0,"member state"
"86","uk",0.815,0.328571428571429,0.505,0.815,0.328571428571429,0.505,7,1,1,"both",0,0,"western europe and other states group",1,0,0,0,"member state"
"87","usa",0.9,0.45,0.1,0.9,0.45,0.1,1,0,0,"neither",0,0,"none",0,1,0,0,"observer state"
"88","viet nam",0.815,0.485,0.65,0.815,0.485,0.65,2,0,0,"neither",0,0,"asia pacific group",1,0,0,0,"member state"
"89","wwf",0.05,0.5125,0.955,0.05,0.5125,0.955,4,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"90","zambia",0.05,0.45,0.92,0.3375,0.5125,0.7225,1,0,0,"neither",0,0,"african group",1,0,0,0,"member state"
"91","zimbabwe",0.635,0.645,0.573333333333333,0.63,0.61,0.549166666666667,6,0,0,"neither",0,0,"african group",1,0,0,0,"member state"
